artist_names,title,count,document_ids
['Various'],Untitled,10,"66f88801fb9f17a601a95418, 66f88804fb9f17a601a97ba6, 66f88805fb9f17a601a991b6, 66f88807fb9f17a601a9ac5c, 66f88808fb9f17a601a9be39, 66f8880cfb9f17a601a9ffd6, 66f8880cfb9f17a601aa0a60, 66f8880efb9f17a601aa27e3, 66f88812fb9f17a601aa71dc, 66f88814fb9f17a601aa8672"
['Unit Moebius'],Untitled,7,"66f88802fb9f17a601a95d66, 66f88802fb9f17a601a95d8c, 66f88802fb9f17a601a95da3, 66f88802fb9f17a601a95d86, 66f88802fb9f17a601a95d94, 66f88802fb9f17a601a95d9a, 66f88802fb9f17a601a95da9"
['Visage'],Visage,4,"66f88810fb9f17a601aa4ae3, 66f88810fb9f17a601aa4b09, 66f88810fb9f17a601aa4b01, 66f88810fb9f17a601aa4b1f"
['Peter Gabriel'],Peter Gabriel,4,"66f88806fb9f17a601a99999, 66f88806fb9f17a601a999bc, 66f88806fb9f17a601a99985, 66f88806fb9f17a601a999b3"
['Jacques Dutronc'],Jacques Dutronc,4,"66f8880ffb9f17a601aa4052, 66f88812fb9f17a601aa73ba, 66f88812fb9f17a601aa73be, 66f88812fb9f17a601aa73c1"
['Donna Summer'],Love To Love You Baby,3,"66f88810fb9f17a601aa4814, 66f88810fb9f17a601aa4836, 66f88812fb9f17a601aa6a7a"
['Scuba (4)'],A Mutual Antipathy Remixes,3,"66f8880afb9f17a601a9e118, 66f88814fb9f17a601aa930a, 66f88814fb9f17a601aa9312"
['Weezer'],Weezer,3,"66f88807fb9f17a601a9aee3, 66f88807fb9f17a601a9aed1, 66f88807fb9f17a601a9aeea"
['The House Of Love'],The House Of Love,3,"66f88800fb9f17a601a9406f, 66f88800fb9f17a601a940bb, 66f88807fb9f17a601a9aded"
['Paul Weller'],Wild Wood,3,"66f88811fb9f17a601aa57cc, 66f88811fb9f17a601aa57d1, 66f88811fb9f17a601aa5807"
['Chris Isaak'],Wicked Game,3,"66f88800fb9f17a601a93bc7, 66f88800fb9f17a601a93c4a, 66f88800fb9f17a601a93c42"
['The Doors'],The Best Of The Doors,3,"66f887fffb9f17a601a930d6, 66f88816fb9f17a601aaadfe, 66f88816fb9f17a601aaadff"
['Various'],Thunderdome,3,"66f88804fb9f17a601a97f45, 66f88804fb9f17a601a97ebe, 66f88804fb9f17a601a98298"
['Gary Numan'],Berserker,3,"66f8880efb9f17a601aa2d43, 66f8880efb9f17a601aa2d4b, 66f8880efb9f17a601aa2e79"
['New Kids On The Block'],Step By Step,3,"66f8880ffb9f17a601aa416a, 66f8880ffb9f17a601aa416c, 66f8880ffb9f17a601aa416d"
['Jean-Michel Jarre'],Zoolook,3,"66f8880bfb9f17a601a9f55b, 66f88810fb9f17a601aa4731, 66f88810fb9f17a601aa4737"
['Kelly Marie'],Feels Like I'm In Love,3,"66f8880dfb9f17a601aa1cc8, 66f8880dfb9f17a601aa1d36, 66f8880dfb9f17a601aa1cee"
['La Peste'],Untitled,3,"66f88801fb9f17a601a94cab, 66f88801fb9f17a601a94cbe, 66f88801fb9f17a601a94cc5"
['Aurra'],A Little Love,3,"66f88813fb9f17a601aa7f9c, 66f88813fb9f17a601aa84ba, 66f88813fb9f17a601aa84df"
['Faithless'],Reverence,3,"66f88805fb9f17a601a994ae, 66f8880bfb9f17a601a9fb83, 66f8880bfb9f17a601a9fb93"
['Tones On Tail'],Tones On Tail,3,"66f8880dfb9f17a601aa118b, 66f8880dfb9f17a601aa11ce, 66f8880dfb9f17a601aa1156"
['Markant'],Untitled,3,"66f8880ffb9f17a601aa4378, 66f88810fb9f17a601aa4387, 66f88810fb9f17a601aa4397"
['Jean-Michel Jarre'],Oxygène,3,"66f88809fb9f17a601a9cf39, 66f8880efb9f17a601aa2747, 66f88810fb9f17a601aa4714"
['Information Society'],Running,3,"66f88803fb9f17a601a96c9d, 66f88803fb9f17a601a96dd1, 66f88803fb9f17a601a96de0"
['Gary Numan'],Cars,3,"66f8880efb9f17a601aa2d93, 66f88811fb9f17a601aa5d47, 66f88811fb9f17a601aa5d8b"
['John Lennon'],Imagine,3,"66f8880ffb9f17a601aa3b7e, 66f8880ffb9f17a601aa3b8f, 66f8880ffb9f17a601aa3b9b"
['The Bible'],Graceland,3,"66f88811fb9f17a601aa5be6, 66f88811fb9f17a601aa5be4, 66f88811fb9f17a601aa5be5"
['The Rolling Stones'],(I Can't Get No) Satisfaction,3,"66f88804fb9f17a601a983b2, 66f88804fb9f17a601a983b9, 66f8880bfb9f17a601a9f54b"
['Space'],Just Blue,3,"66f88800fb9f17a601a93f6b, 66f88806fb9f17a601a99d1e, 66f88811fb9f17a601aa6075"
['Steeleye Span'],All Around My Hat,3,"66f88808fb9f17a601a9c25a, 66f88808fb9f17a601a9c265, 66f88808fb9f17a601a9c283"
['The Charlatans'],Up At The Lake,2,"66f8880ffb9f17a601aa340a, 66f8880ffb9f17a601aa3427"
['The Farm'],Love See No Colour,2,"66f88811fb9f17a601aa5912, 66f88811fb9f17a601aa591c"
['Mariah Carey'],Emotions,2,"66f88810fb9f17a601aa4f01, 66f88810fb9f17a601aa4f07"
['Suzi Lane'],"Ooh, La, La",2,"66f8880afb9f17a601a9ed6b, 66f8880afb9f17a601a9ed68"
['La Bionda'],Bandido,2,"66f8880efb9f17a601aa2c00, 66f8880efb9f17a601aa2c06"
['From Ashes Rise'],From Ashes Rise,2,"66f88803fb9f17a601a96ebe, 66f88813fb9f17a601aa804e"
['Alex Gopher'],"You, My Baby & I",2,"66f88813fb9f17a601aa79ae, 66f88813fb9f17a601aa79ea"
['Morris Day'],Color Of Success,2,"66f8880bfb9f17a601a9f654, 66f8880bfb9f17a601a9f65c"
['Pandora'],Tell The World,2,"66f8880dfb9f17a601aa1264, 66f8880dfb9f17a601aa125d"
['Les McKeown'],It's A Game,2,"66f88813fb9f17a601aa81a5, 66f88813fb9f17a601aa81a6"
"[""Fischerman's Friend""]",Fischerman's Friend,2,"66f8880bfb9f17a601a9f55d, 66f8880bfb9f17a601a9f561"
['Lightning Seeds'],Pure,2,"66f8880ffb9f17a601aa35e2, 66f8880ffb9f17a601aa362f"
['Marc Almond'],Stories Of Johnny,2,"66f88805fb9f17a601a9852b, 66f88805fb9f17a601a9855b"
['Yes'],Going For The One,2,"66f88807fb9f17a601a9ae8e, 66f88807fb9f17a601a9ae98"
['Albert Hammond'],It Never Rains In Southern California,2,"66f88813fb9f17a601aa7d6b, 66f88813fb9f17a601aa7d6c"
['Roxy Music'],Avalon,2,"66f8880cfb9f17a601aa04d7, 66f8880cfb9f17a601aa04d9"
['Prince'],Controversy,2,"66f88804fb9f17a601a97cd5, 66f88816fb9f17a601aaaa8e"
['Electric Light Orchestra'],Showdown,2,"66f8880ffb9f17a601aa35d7, 66f8880ffb9f17a601aa35e3"
['Air Supply'],Lost In Love,2,"66f88810fb9f17a601aa480b, 66f88810fb9f17a601aa4827"
['Culture Beat'],Inside Out,2,"66f8880ffb9f17a601aa42fa, 66f8880ffb9f17a601aa42fd"
"[""Destiny's Child""]",Survivor,2,"66f88808fb9f17a601a9c44e, 66f88808fb9f17a601a9c42a"
['Book Of Love'],Lullaby,2,"66f88803fb9f17a601a965a0, 66f88803fb9f17a601a96596"
['First Choice'],Breakaway,2,"66f8880efb9f17a601aa21d1, 66f8880efb9f17a601aa21ca"
['Queen'],The Miracle,2,"66f88803fb9f17a601a97075, 66f88803fb9f17a601a971a9"
['Soulwax'],Much Against Everyone's Advice,2,"66f8880cfb9f17a601aa0892, 66f8880cfb9f17a601aa088d"
['Faith No More'],We Care A Lot,2,"66f88803fb9f17a601a96aa5, 66f88809fb9f17a601a9d117"
['Laban'],Caught By Surprise,2,"66f88814fb9f17a601aa92ae, 66f88814fb9f17a601aa92ad"
['The Grid'],Texas Cowboys,2,"66f88808fb9f17a601a9c8c5, 66f8880efb9f17a601aa2fc2"
