master_id,main_release,artist_names,artist_ids,title,year,genres,styles
113,116925,['Vince Watson'],[3225],Moments In Time,2002,['Electronic'],"['Techno', 'Tech House']"
114,42056,['Vince Watson'],[3225],Biologique,1999,['Electronic'],"['Deep House', 'Tech House', 'Techno']"
115,336873,['Soleil (2)'],[233125],Soleil,2004,['Electronic'],"['IDM', 'Electro']"
116,5415,['Blue Arsed Fly'],[1162],Knackered EP,1997,['Electronic'],['Techno']
117,91899,['Origin'],[5508],Wide-Eyed Angel,1999,['Electronic'],['Progressive Trance']
118,5033,['Origin'],[5508],Yellow,1999,['Electronic'],"['Progressive House', 'Trance']"
119,35796,['Hyper On Experience'],[1199],Keep It In The Family E.P.,1993,['Electronic'],"['Breakbeat', 'Hardcore']"
120,6538,['Hyper On Experience'],[1199],Fun For All The Family E.P.,1992,['Electronic'],"['Breakbeat', 'Hardcore']"
121,104038,['Mixrace'],[69209],The Future Is Before Your Eyes,1992,['Electronic'],"['Hardcore', 'Breakbeat']"
122,85912,['Mixrace'],[69209],Organized Chaos E.P.,1993,['Electronic'],"['Breakbeat', 'Hardcore', 'Jungle']"
123,394536,"['Mixrace', 'Pro-Ton-Isospace']","[69209, 272461]",The Endless Skies / True Jungle,1994,['Electronic'],"['Drum n Bass', 'Jungle']"
124,225108,['Mixrace'],[69209],A Different Drum,1995,['Electronic'],['Drum n Bass']
125,33418,['Earth Leakage Trip'],[7407],Psychotronic EP,1991,['Electronic'],"['Breakbeat', 'Techno', 'Bleep']"
126,84193,['Earth Leakage Trip'],[7407],Neopolitan EP,1992,['Electronic'],"['Breakbeat', 'Hardcore', 'Techno', 'Bleep']"
127,107793,['Earth Leakage Trip'],[7407],The Virtuality EP,1992,['Electronic'],"['Breakbeat', 'Techno', 'Ambient']"
128,169893,['Cybotron'],[3863],Cosmic Cars,1982,['Electronic'],"['Techno', 'Electro']"
129,162067,['Cybotron'],[3863],Alleys Of Your Mind,1981,['Electronic'],['Electro']
130,17859,['Cybotron'],[3863],Clear,1983,"['Electronic', 'Hip Hop']",['Electro']
