master_id,main_release,artist_names,artist_ids,title,year,genres,styles
1420465,12500887,['Iversen (3)'],[6693170],La Favière,2018,['Electronic'],['Synthwave']
1833750,16065120,['Smarts (3)'],[8102164],"Who Needs Smarts, Anyway?",2020,['Rock'],"['Punk', 'Alternative Rock', 'New Wave']"
772426,1897147,['P.F. Sloan'],[639495],Halloween Mary,1965,"['Rock', 'Folk, World, & Country']",['Folk Rock']
836021,7011098,['Cousin Silas'],[16812],Dronescape 026,2015,['Electronic'],"['Ambient', 'Drone']"
1383371,6092454,['J.W. Everitt'],[3206070],In The Moment,1992,"['Pop', 'Folk, World, & Country']",[]
1589128,4338835,['Bob Luman'],[376949],Let Me Make The Bright Lights Shine For You,1974,"['Folk, World, & Country']",['Country']
490737,3879059,['Jim Gaffigan'],[497390],Mr. Universe,2012,['Non-Music'],['Comedy']
1523617,12666057,['Magic (2)'],[173377],Ice On My Wrist,1999,['Hip Hop'],[]
520770,2377581,['David McNeil'],[717852],David McNeil,1972,"['Jazz', 'Rock', 'Pop']",['Chanson']
1146943,9146855,['Jon Gibson'],[82551],Soulful Hymns,2002,['Funk / Soul'],[]
551753,1182531,['Various'],[194],Music Me All Over,1996,['Rock'],['Indie Rock']
3387430,5857450,['Colinda (2)'],[480049],Ik Wil Wel Meer Van Jou,1988,['Pop'],"['Vocal', 'Schlager']"
2330908,20500774,['The Byrds'],[215471],Sing Dylan,1970,"['Folk, World, & Country']",[]
1467258,12917994,['Cris Luna'],[6321948],Maëlstrohm,2014,['Rock'],"['Prog Rock', 'Alternative Rock', 'Heavy Metal', 'Blues Rock']"
530352,4230912,['Alpha III'],[1443997],The Aleph,1989,"['Electronic', 'Rock']","['Space Rock', 'Prog Rock']"
1301241,8159061,['Paul McCartney'],[35301],Press Conferences Tokyo/Chicago 1990,1991,['Non-Music'],['Interview']
101945,675217,['Falco'],[26912],Push! Push!,1998,['Electronic'],"['House', 'Synth-pop']"
197398,437661,['Lime (2)'],[66373],Say You Love Me / Do Your Time On The Planet (Remixes),1985,['Electronic'],"['Synth-pop', 'Disco']"
2108356,12036747,['Around The World In 80 Days'],[4647945],Euphoria,2014,['Rock'],['Post Rock']
