master_id,main_release,artist_names,artist_ids,title,year,genres,styles
3261838,22761344,['The International Pop Orchestra'],[1121212],Musical Jewels,1965,"['Pop', 'Classical']",[]
1790782,4261706,['Rikki Patrick'],[589983],Breakpoint,1984,['Funk / Soul'],[]
80426,388395,['Black Rebel Motorcycle Club'],[62807],B.R.M.C.,2001,['Rock'],"['Blues Rock', 'Indie Rock']"
527896,1536279,['Ice-T'],[66147],Where It Goes Down / Pimp Anthem,1996,['Hip Hop'],[]
162574,479610,['Body Power'],[95513],It's A Life,1988,['Electronic'],['Italo-Disco']
840287,5276260,['Kalyi Jag'],[1056288],Lungoj O Drom Angla Mande,1989,"['Folk, World, & Country']",['Romani']
49236,15594,['Quazar'],[7638],21 Hours,1999,['Electronic'],"['Progressive Trance', 'Techno']"
1525203,12118162,['Unknown Artist'],[355],Background Music Library #43-D,1956,['Pop'],"['Easy Listening', 'Instrumental']"
148265,882691,['The Ritchie Family'],[35289],Put Your Feet To The Beat,1979,['Funk / Soul'],['Disco']
2484466,21926926,['Silverstein'],[354892],Performing Discovering The Waterfront Live At The Legendary Starland Ballroom,2022,['Rock'],"['Emo', 'Hardcore']"
1441489,10243280,"['Franz Schubert', 'Walther Ludwig', 'Michael Raucheisen']","[283469, 1899119, 978332]",Die Schöne Müllerin Op.25 (Nr. 1-10),1959,['Classical'],['Romantic']
1485368,13041530,"['Apócrýphos', 'Dronny Darko', 'Enmarta', 'Ajna (5)', 'Plamen Večnosti', 'Oljus', 'Cut The Light', 'Asath Reon']","[4269247, 2793136, 4487291, 2984749, 4781940, 6927959, 6552506, 5931697]",Tomb Of Ordeals,2019,['Electronic'],"['Dark Ambient', 'Drone']"
650702,4543320,['Millie Jackson'],[94928],Special Occasion / Blues Don't Get Tired Of Me,1982,['Funk / Soul'],[]
3159936,1509587,['Martijn De Kleer'],[150744],The Stranger It Gets Part I (Lost Tapes 1991-1995),2008,"['Rock', 'Folk, World, & Country']","['Folk Rock', 'Acoustic', 'Psychedelic Rock', 'Indie Rock', 'Folk']"
75560,475915,['Yusuke Nakamura (6)'],[4538109],Insect,2005,['Electronic'],['Techno']
1443824,10257287,['The Shadows'],[170356],The Shadows Sing,0,"['Rock', 'Pop']","['Pop Rock', 'Vocal', 'Folk Rock']"
2596133,3211241,['The Grumbleweeds'],[2319432],Comedy From Their Radio 2 Series,1979,"['Non-Music', 'Stage & Screen']",['Comedy']
743523,6136803,"['Classified (2)', 'B.O.B']","[214595, 901031]",Higher,2014,['Hip Hop'],['Hip Hop']
166624,1452711,['Various'],[194],Ska Down Jamaica Way Volume Five,2004,['Reggae'],['Ska']
959120,8123105,['Madman (18)'],[2668959],Madtadone 2012,2012,['Hip Hop'],[]
2054176,18100930,['Sage The Infinite'],[1501936],Move Dat,2006,['Hip Hop'],[]
1753236,2484399,['Raghunath Seth'],[406601],The Eternal Flute - Folk Music From India,1982,"['Folk, World, & Country']",['Indian Classical']
1386402,1654479,['Northwoods Improvisers'],[806419],Constellations,2008,['Jazz'],"['Free Jazz', 'Contemporary Jazz']"
3108318,4647459,"['Junko Mine', 'Roland Hanna Trio']","[3331085, 636513]",Pre Morning,1976,['Jazz'],['Vocal']
1291183,11349840,['Chihiro Yamanaka'],[4496642],Forever Begins,2010,['Jazz'],"['Bop', 'Contemporary Jazz']"
1647405,418845,['Various'],[194],Charts Pur Vol. 3,1995,"['Electronic', 'Pop']","['Euro House', 'Eurodance']"
967113,8118342,['Various'],[194],Presenting The Bose Wave Music System,2004,"['Non-Music', 'Classical']","['Romantic', 'Field Recording']"
1621922,7792359,['Samuelsons'],[850083],Önskesånger,1985,['Funk / Soul'],['Gospel']
3413002,25918021,['Celtic Frost'],[251679],Spawn Of Pazuzu - The Early Years,2022,['Rock'],"['Thrash', 'Black Metal', 'Speed Metal']"
2266243,9113594,['Jennifer Roland'],[3950434],Dedication,1998,"['Folk, World, & Country']",['Celtic']
930483,1468659,['Auto-Mod'],[1226015],Eestania,1985,['Rock'],"['New Wave', 'Punk']"
1347208,11854175,['Michele Pecora'],[851813],I Ragazzi Della 5a Strada,1991,['Pop'],[]
1424966,1775829,['The Prodigy'],[66852],Only For The Headstrong,0,['Electronic'],['Big Beat']
1564254,8903452,"['Contra Coup (2)', 'Victor Rice']","[2662566, 301671]",Untitled,0,"['Electronic', 'Reggae']","['Dub', 'Reggae']"
596628,3189744,['Dead Voices On Air'],[11199],Michael And The Angels Fought,2011,['Electronic'],"['Experimental', 'Ambient', 'Modern Classical']"
2529493,22330015,['Tom Adair'],[661120],What A Wonderful Thing Is Me!,1972,"[""Children's""]",['Educational']
2379550,958929,['Various'],[194],Disco Dynamite '82,1982,"['Electronic', 'Pop']","['New Wave', 'Electro', 'Synth-pop', 'Disco']"
2655236,9216094,"[""Angel's Arcana""]",[5324011],Bollingen - Boleskine - Belturbet,2016,['Rock'],"['Acoustic', 'Post Rock', 'Ethereal']"
604253,3068655,['Cheo Feliciano'],[430769],The Singer,1976,['Latin'],"['Guajira', 'Cha-Cha', 'Salsa', 'Descarga', 'Bolero', 'Bomba']"
564388,2892265,['Fireworks Night'],[990062],As Fools We Are,2007,"['Folk, World, & Country']","['Folk', 'Indie Rock']"
1855083,16347975,['DJ Mutante'],[305303],2020 Vinyl Releases,2020,['Electronic'],"['Hardcore', 'Speedcore']"
2424916,21388057,['Елена Качур'],[1457640],Лесные Птицы,0,"['Non-Music', ""Children's""]","['Education', 'Story']"
2440222,21486919,['Pierre Spiers'],[661640],Pierre Spiers Et Sa Harpe - Musique De Danse,1958,['Pop'],[]
1381352,4318046,"['Edvard Grieg', 'Antonín Dvořák', 'Pyotr Ilyich Tchaikovsky', 'The Boyd Neel Orchestra', 'Cedric Dumont']","[95542, 268272, 999914, 1888195, 978314]",In Popular Style (Im Volkston) / Notturno For String Orchestra Op. 40 / Waltz (From Serenade For String Orchestra In C Major Op. 48),0,['Classical'],['Classical']
845719,7007138,['Sherrié Austin'],[1338399], Followin' A Feelin' ,2001,"['Pop', 'Folk, World, & Country']","['Country', 'Pop Rock']"
1779328,15684446,['Undirheimar'],[7964608],Heljarrúnar,2020,['Electronic'],"['Dark Ambient', 'Tribal']"
3516886,8913249,['Stelvio Cipriani'],[125377],Bersaglio Altezza Uomo,2016,['Stage & Screen'],"['Soundtrack', 'Score']"
960423,4577526,['Clive Palmer'],[425261],Sands Of Time,2004,"['Folk, World, & Country']","['Folk', 'Acoustic']"
1377756,237197,['AMP'],[4090],Frise,1996,"['Electronic', 'Rock']",['Experimental']
423238,402071,['Andy Struksha'],[205277],Andy Social,2003,['Hip Hop'],[]
1587920,2578187,"['Heaven Shall Burn', 'Fall Of Serenity']","[267063, 444817]",The Heaven Shall Burn / Fall Of Serenity Split,1999,['Rock'],"['Hardcore', 'Death Metal']"
2465245,11672099,['I Trilli'],[633399],Acõntentâse,1981,"['Pop', 'Folk, World, & Country']",['Folk']
1170504,4958371,"['Claude Ballif', 'Ensemble Vocal Arsène Muzerelle']","[258071, 3485845]","Prière À La Sainte Vierge, Chapelet, Les Battements Du Coeur De Jésus, Prière Au Seigneur",1972,['Classical'],['Contemporary']
2542600,22442278,"['Bing Crosby', 'Marlene Dietrich', 'Tallulah Bankhead']","[164571, 328731, 1320570]",Bing's Beaus,0,['Non-Music'],['Radioplay']
1832836,9698960,"['Gilbert Schwab', 'Gilbert Hofstetter', 'Les Accordéonistes Jurassiens']","[1204667, 1204681, 1832846]",Les Accordeonnistes Jurassiens,0,"['Folk, World, & Country']",['Volksmusik']
1757854,5465988,['Teddy Wilson'],[254769],Master Of Jazz,1984,['Jazz'],['Swing']
1322458,11549857,['Alela Diane'],[1139858],Cusp,2018,"['Folk, World, & Country']",['Folk']
248459,964625,['Ziggi'],[670986],All Obstacles,2007,['Reggae'],"['Reggae', 'Dancehall']"
3148410,12491837,['Various'],[194],Christmas Across The Country Volume 1,1989,"['Folk, World, & Country']","['Vocal', 'Country', 'Holiday']"
1416686,11335536,['Watine'],[407657],Atalaye,2015,['Electronic'],"['Abstract', 'Experimental']"
1073230,3788065,['Noël Coward'],[186262],The Golden Age Of Noel Coward,1983,"['Pop', 'Stage & Screen']",[]
1671667,13168336,['Georges Bizet'],[342543],Carmen (Brani Scelti),1972,['Classical'],['Opera']
1791072,1046268,['Zita Swoon'],[105325],Camera Concert: A Band In A Box,2005,"['Rock', 'Blues']",['Acoustic']
1591418,10822215,['Eddie Condon And His All-Stars'],[997071], I've Found A New Baby / Duff Campbell's Revenge,0,['Jazz'],['Dixieland']
1306801,11494081,['André E Felipe'],[5327301],Paz & Amor,2013,"['Funk / Soul', 'Folk, World, & Country']","['Country', 'Gospel']"
2394181,9858299,['Cherish (6)'],[2366314],なのにあなたは京都へゆくの,1971,"['Rock', 'Pop']","['Kayōkyoku', 'Soft Rock']"
1756081,11492571,['Elisa Chan'],[1924836],陳潔靈,1987,['Pop'],[]
2049064,6906738,"['Johannes Brahms', 'Robert Schumann']","[304975, 578727]","Romantic Chamber Music, Vol. 1",0,['Classical'],['Romantic']
1181386,10306418,['Whoreanus'],[5765241],Perverted Party,2016,['Rock'],['Pornogrind']
3016853,26423777,['黃大城'],[6940199],唐山子民,1982,['Pop'],['Mandopop']
978964,8311661,['Bananas At Large'],[1511916],Da Turdy Point Buck,1992,"['Non-Music', 'Folk, World, & Country']",['Comedy']
2868298,543188,['Various'],[194],FM CD 67 March 1998,1998,['Electronic'],"['Drum n Bass', 'Abstract', 'Downtempo', 'Experimental', 'Trance']"
1445983,6715033,['Father Richard Ho Lung & Friends'],[3260282],Sister Song,1974,"['Reggae', 'Folk, World, & Country']",[]
2554886,6467575,['Various'],[194],25 Baroque Favorites,1996,['Classical'],['Baroque']
2019301,4905182,['Harley Toberman'],[861095],On The Farm / Odds And Ends,1982,['Non-Music'],"['Special Effects', 'Field Recording', 'Movie Effects']"
3232681,28207969,"['Doris Haas', 'Jugendsingkreis Derschlag', 'Ulrich Brück', 'Christian von Strauch']","[3510587, 2089451, 2708895, 3510588]",Bring Mich Höher Auf Die Berge / Mach Mich Reiner / Wend Den Blick Nur Auf Jesus,0,"['Classical', 'Folk, World, & Country']","['Choral', 'Religious']"
3430250,29676022,['Asarhaddon'],[5450232],Besenken,2024,['Rock'],"['Atmospheric Black Metal', 'Ambient']"
737675,3416667,['Endgame'],[295736],Thingamajig,2009,['Electronic'],"['Abstract', 'Industrial', 'Experimental']"
494566,2498076,['Little Willie John'],[607661],The Masquerade Is Over / Katanga,1962,['Funk / Soul'],['Rhythm & Blues']
1487644,13089323,['Joe Loco And His Quintet'],[2032047],Viva Mambo,1956,"['Jazz', 'Latin']","['Cha-Cha', 'Mambo', 'Bolero', 'Guaguancó', 'Latin Jazz', 'Instrumental']"
502944,1919872,['Tumulus (3)'],[1562748],Sredokresie = Средокресие,2005,['Rock'],"['Folk Rock', 'Viking Metal', 'Prog Rock']"
1570274,3501244,['Jakub Smolík'],[2077325],Samotář,2004,['Pop'],[]
1758048,15497158,['Raymond Boisserie Et Son Orchestre'],[2060301],Succès Musette,1976,"['Folk, World, & Country', 'Stage & Screen']",['Musical']
153983,763454,['Eugene Wilde'],[64807],30 Mins. To Talk,1986,"['Electronic', 'Funk / Soul']",['Disco']
1827218,15634438,['The Pattersons'],[552819],Travelling People,1968,"['Folk, World, & Country']",[]
1426429,2689972,['Red Jenkins'],[1954569],A Texas Honky Tonk,1975,"['Folk, World, & Country']","['Country', 'Honky Tonk']"
3094347,15375990,['Various'],[194],1969,0,"['Rock', 'Pop', 'Folk, World, & Country']","['Country', 'Vocal']"
293304,2105078,['Club Bass'],[1110277],Brothers And Sisters,1996,['Electronic'],['Progressive House']
1704545,14981020,['Kenny Rogers'],[223131],Greatest Hits,1998,"['Folk, World, & Country']",['Country']
1790059,10226572,['Various'],[194],Album Souvenir Western - Vol.1,0,"['Folk, World, & Country']",['Country']
1919154,16894950,['Various'],[194],Schlager-Festival Der Stars 4,1974,['Pop'],['Schlager']
38200,829264,['Redhead'],[3953],Crash & Burn,2006,['Electronic'],"['Minimal', 'Techno']"
199272,1204417,['Dick Hyman And His Electric Eclectics'],[2934104],Topless Dancers Of Corfu / The Minotaur,1969,"['Electronic', 'Pop']",['Experimental']
583350,136582,['Various'],[194],響現 Kyogen ,2000,"['Electronic', 'Hip Hop']",['Abstract']
